circuit,model,p,regime,method,ideal,mu,sd,ci_lo,ci_hi,err,err_noisy,impr
bell,depolar,0.135,high,linear,1.0,0.956553819444445,0.03300078483929819,0.940928819444445,0.9739605034722227,0.04344618055555505,0.134765625,0.6776167471819683
bell,depolar,0.15,high,richardson,1.0,0.9029947916666659,0.3425491473475376,0.738665364583332,1.0793033854166663,0.09700520833333415,0.14726562499999996,0.34129089301502524
bell,depolar,0.15,high,linear,1.0,0.9631076388888892,0.06687676560890381,0.9279937065972226,0.9966156684027779,0.03689236111111083,0.14726562499999996,0.7494842322428548
bell,combined,0.001,low,richardson,1.0,0.9244791666666657,0.03170780120282767,0.9085904947916658,0.9408854166666656,0.07552083333333426,0.07343750000000004,-0.02836879432625311
bell,combined,0.001,low,linear,1.0,0.9265625000000005,0.01389471991312236,0.9196169704861117,0.9334223090277786,0.07343749999999949,0.07343750000000004,7.558965274043614e-15
bell,combined,0.002333,low,richardson,1.0,0.901953124999999,0.05403347757843079,0.8779947916666657,0.9309993489583323,0.09804687500000098,0.08216145833333333,-0.19334389857370454
bell,combined,0.002333,low,linear,1.0,0.9138020833333336,0.02423624480124694,0.9011273871527782,0.9255240885416673,0.08619791666666643,0.08216145833333333,-0.04912836767036171
bell,combined,0.003667,low,richardson,1.0,0.9463541666666656,0.05069537343374485,0.9222623697916658,0.9712239583333326,0.05364583333333439,0.08216145833333333,0.34706814580030404
bell,combined,0.003667,low,linear,1.0,0.9228298611111114,0.020160391717267648,0.9127571614583337,0.9334223090277782,0.07717013888888857,0.08216145833333333,0.06075013206550825
bell,combined,0.005,low,richardson,1.0,0.929296874999999,0.04373255790705306,0.9059895833333325,0.9511718749999989,0.07070312500000098,0.08307291666666672,0.14890282131660318
bell,combined,0.005,low,linear,1.0,0.9251736111111115,0.01798645883270693,0.9161892361111117,0.9345486111111115,0.07482638888888848,0.08307291666666672,0.09926854754441504
bell,combined,0.006333,low,richardson,1.0,0.9253906249999992,0.05649991501883378,0.8996028645833328,0.9563867187499996,0.07460937500000075,0.08177083333333335,0.08757961783438584
bell,combined,0.006333,low,linear,1.0,0.9192274305555562,0.017161614205019136,0.9105468750000008,0.9278645833333338,0.08077256944444378,0.08177083333333335,0.012208067940560372
bell,combined,0.007667,low,richardson,1.0,0.9160156249999996,0.0678046690466908,0.8804654947916662,0.9486979166666657,0.08398437500000044,0.08763020833333335,0.04160475482911842
bell,combined,0.007667,low,linear,1.0,0.9285156250000005,0.02642320331576829,0.9150173611111115,0.9415364583333335,0.07148437499999949,0.08763020833333335,0.18424962852898072
bell,combined,0.009,low,richardson,1.0,0.9319010416666658,0.06297373627555784,0.899208984374999,0.9626302083333326,0.06809895833333424,0.08307291666666672,0.1802507836990492
bell,combined,0.009,low,linear,1.0,0.9200086805555558,0.01633559705944601,0.911414930555556,0.9283854166666669,0.07999131944444415,0.08307291666666672,0.037095088819230855
bell,combined,0.012,mid,richardson,1.0,0.9093749999999993,0.06886088359193879,0.8736946614583323,0.9428417968749992,0.09062500000000073,0.08710937500000004,-0.040358744394626715
bell,combined,0.012,mid,linear,1.0,0.9296875000000003,0.01956882958777004,0.9204427083333336,0.9397569444444447,0.07031249999999967,0.08710937500000004,0.19282511210762757
