circuit,model,p,regime,t_stat,p_val,cohen_d,sig
depth_d5,combined,0.002333,low,0.5842,0.5655,0.2208,False
depth_d5,combined,0.003667,low,0.9197,0.37,0.3476,False
depth_d5,combined,0.005,low,-4.781,0.0002,-1.8071,True
depth_d5,combined,0.006333,low,1.5933,0.1305,0.6022,False
depth_d5,combined,0.007667,low,-1.5861,0.1315,-0.5995,False
depth_d5,combined,0.009,low,-1.0625,0.3025,-0.4016,False
depth_d5,combined,0.012,mid,0.5982,0.5565,0.2261,False
depth_d5,combined,0.018,mid,-2.7416,0.0135,-1.0362,True
depth_d5,combined,0.024,mid,-3.1152,0.0056,-1.1774,True
depth_d5,combined,0.03,mid,-1.6887,0.1102,-0.6383,False
depth_d5,combined,0.036,mid,-4.4027,0.0003,-1.6641,True
depth_d5,combined,0.042,mid,-4.0133,0.001,-1.5169,True
depth_d5,combined,0.048,mid,-4.16,0.0006,-1.5723,True
depth_d5,combined,0.06,high,-1.5045,0.1525,-0.5687,False
depth_d5,combined,0.075,high,-3.0444,0.0078,-1.1507,True
depth_d5,combined,0.09,high,-2.2668,0.0356,-0.8568,True
depth_d5,combined,0.105,high,-2.1739,0.0427,-0.8217,True
depth_d5,combined,0.12,high,-0.9655,0.3493,-0.3649,False
depth_d5,combined,0.135,high,-1.4256,0.1711,-0.5388,False
depth_d5,combined,0.15,high,-1.8906,0.0728,-0.7146,False
